"count","seller","avg_review"
"16","ea65d8b58316a6f2362f2a9e4b3e86ad","3.2"
"21","3092c0b297aacfb4bb6e056ebe13b9b8","3.6"
"12","bdae679a9b282249bc23b9b69dae9a99","3.5"
"27","638cba8be1fb599bbb76fd6948351eb3","4.6"
"11","670a9dda115b5a88b18cfadee8de2332","4.5"
"95","06e5eefc71ec47ae763c5c6f8db7064f","3.9"
"12","431050a06a317f2b38168dec3dcd2b46","4.3"
"13","da6a60cc8cc724fe51be021ff8be779c","4.8"
"21","f9244d45189d3a3605499abddeade7d5","4.3"
"11","0aa2205ca24f113f4658a5c536667426","2.8"
"12","0e982cff76cc0579f632cea8a0e38c9d","3.3"
"12","ae45df84722b1d15c5f32b23a095746c","4.8"
"11","b1204cfda1d4948679db3cfc0d3cb95c","3.3"
"16","51e4e89242cbb846c2deff3dc015650e","4.6"
"21","cfa5ab0e4d3fc212fd0b3410e7081c62","3.5"
"12","68f86ba270525243e68ae74044f992b9","4.3"
"11","b81e3a6c866a764974fe849821abeebd","4.5"
"18","82cb9f452fe8334df74b22d37824b431","4.7"
"14","8a87611c08849ffeeccab52aa798b6c7","2.6"
"11","cb6c9f5888a7a090c75beaf615925792","3.8"
"19","8ed8ea9a57c862f2c18c2fe41f601d56","4.5"
"14","5882820ef11c4c068eea0677a7a879b4","4.2"
"16","bc503e244f187939d10c92a5c8e378ce","3.8"
"17","60562ab00b8054280520d390c8c0045c","4.8"
"15","6806dad1da97bfb5a9038eac6881f706","3.9"
"15","7238a95bb63ef7e498389fb863b834a1","4.7"
"27","671585f5a2af58b6e276bc01003c0d2b","4.7"
"14","d93844a9c55ba7ce353388bcf849ea56","4.2"
"23","5075aaa8404020ae6aa8bf4792099b41","3.9"
"65","8ae520247981aa06bc94abddf5f46d34","4.4"
"16","3fac58ce0ad699020c7944d53c41329c","4.6"
"30","f326006815956455b2859abd58fe7e39","4.7"
"19","d8cf3b6a2151949f930d0252b180ec42","3.0"
"22","bd697db56ff8e7c9cd1abeb7f72029b2","4.2"
"14","0b18d63d0cd1d723567903fd34a07df2","4.8"
"38","5cbbd5a299cab112b7bf23862255e43e","4.3"
"12","d9e8c084b68fe958861d8f2c21202e6b","4.2"
"16","8daab2245ebdc277c51098d01c5ad8ef","4.6"
"13","26d6bbee02420494d471c9f6436929c0","4.7"
"20","b1fecf4da1fa2689bccffa0121953643","5.0"
"11","ff4e2d38692ce827b1a4f4b8196e680d","4.3"
"18","ffa6adafb71b807dc13159e26431354c","3.8"
"41","73a63f72308aa20a46f4b1632018f196","4.1"
"54","2b3e4a2a3ea8e01938cabda2a3e5cc79","4.4"
"30","cc3d14116804f7209f3884f6367f1152","4.7"
"14","df91910b6a03bb2e3358fa6a35e32f6f","4.4"
"11","63a79f5a7eb5cb48a7e5787b141c7993","4.5"
"21","4305fe92735c8a43d154ff6dd2b8d927","3.9"
"99","9616352088dcf83a7c06637f4ebf1c80","4.2"
"12","1c5e4e49b9079480255b49d50aac1aa9","4.3"
"53","3bb548e3cb7f70f28e3f11ee9dce0e59","4.0"
"21","8f78f0903005064036736c7173a5c2ed","3.5"
"12","d4910f1cdcfdabd48d6b316e395d4a23","4.9"
"21","4736e9d642ef4257cd7622516931eb51","4.2"
"20","e250d617a0ad591ba9bd663e584a895d","2.8"
"25","3785b653b1b82de85ab47dd139938091","4.8"
"17","5bc24d989e71e93c33e50a7782431b0e","4.4"
"11","f12d3c2a14729ae461b920c11fe20fdc","4.3"
"15","0eaa7e33d73809f1f925f7d07c506cbd","4.7"
"44","b410bdd36d5db7a65dcd42b7ead933b8","4.7"
"28","7ade73f1b9b4e965f9009a4c3a7e2c15","4.8"
"17","25e47381a6c510ddeb36084e33b89f0c","4.1"
"15","3c010235b7345c92f125d14ee232a76b","4.7"
"13","2f74af7a0ee5636f12c2336f9fffed47","4.3"
"15","0b36063d5818f81ccb94b54adfaebbf5","5.0"
"18","72bc2cce903c872fe376a8faaa81d237","4.4"
"12","77fccaae319668a8ab6cd0fd16aec48c","4.3"
"11","89a51f50b8095ea78d5768f34c13a76f","4.7"
"11","e603cf3fec55f8697c9059638d6c8eb5","4.5"
"33","9baf5cb77970f539089d09a38bcec5c3","4.3"
"17","a2deecd5398f5df4987110c80a1972a3","3.7"
"16","e601b04acf48b4576e73ddca9481f0dc","3.9"
"25","ddd51ae8cda92f3995a51fc0f0f3eec7","4.6"
"22","42fa4ee7240e9b8eb4576358ec142ba7","4.8"
"15","1dcfa3835714681d4ba4a93bc1e0fd41","3.9"
"12","968268a686aa05d1f529fb07dff08130","3.5"
"40","ed4acab38528488b65a9a9c603ff024a","3.7"
"19","62c50c1af4dfdc4149d25c5222043d39","3.3"
"20","30a81d8cf85fb2ada1b1b094c9583a95","4.9"
"35","33ac3e28642ab8bda860a2f693000e78","4.2"
"66","57e632711dec9ec14ca7546769483e7e","4.4"
"19","8602a61d680a10a82cceeeda0d99ea3d","4.5"
"11","b9a03475e6447e631b6799ec8274800f","4.3"
"50","aae3bfea055532c57fb453ed3ec80b30","3.6"
"11","788e857f317e53de488d393e65a80f45","4.9"
"12","141440cad9341e553f8401c574a2aa38","4.2"
"24","07bf9669d84d1f11be443a9dd938f698","3.3"
"18","c26a2be5b53b7db6b276280da212a779","2.7"
"14","83645b1645cdee8953ee54c29ceed564","4.4"
"11","1b1ae47a313a825a7ccceb8e2e30fa9d","3.9"
"27","7e26c750b4cb9f6766f58265ff9ebe95","4.4"
"11","508808d438fe2ff972ed13bb8f4a82e2","4.3"
"41","b1ac6ea7895bc3dd6f0f6f4abbdd2821","4.3"
"63","cc63f0dd2acba93ffed4fe9f8e0321fa","4.0"
"15","c2d70ce2c5d0a2eb75e78668236e6dc8","4.7"
"60","e882b2a25a10b9c057cc49695f222c19","4.6"
"28","f41ce2e25237f9092cd8e6e7516c7a2f","4.3"
"16","33cbbec1e7e1044aaf11d152172c776f","4.7"
"44","6338ea67c41078a46ad99cc009654956","4.6"
"48","6b90f847357d8981edd79a1eb1bf0acb","4.4"
"26","c731d18cea9bf687ffee82a241c25b11","4.0"
"13","6d22a1fcebb6dd08c9cd90b92a93e8d0","4.3"
"32","916748bc99315c2d202898ae58b1617e","4.3"
"11","3d0cd21d41671c46f82cd11176bf7277","4.7"
"28","55d3daac7c404d59e51c2aa2f4dc5a23","3.9"
"20","ffff564a4f9085cd26170f4732393726","2.1"
"13","aac51c486b672a9850d59f3e84b1cf88","4.8"
"24","e21a1e8be4715b0fcfd5385643bc49c4","3.7"
"11","6bbcb8924baf70b7fe2fe2097e8cd407","4.5"
"14","49e7217cfe4e427191c378ec626d8737","3.9"
"41","bba74270a87732727b5a3b4fd9ac1c39","3.8"
"92","f3b80352b986ab4d1057a4b724be19d0","4.1"
"24","5c853bb56f70f4d14218944bae111d7a","4.0"
"15","f3c38ab652836d21de61fb8314b69182","4.3"
"63","d57e18d5f73c7ccb7f7339b61166898d","4.4"
"19","e7f3bf1ecd8526eb7f3b18059e6716e5","4.4"
"11","525e75a6fb1454a2325ab1734bcec221","3.7"
"53","3504c0cb71d7fa48d967e0e4c94d59d9","4.4"
"52","81f89e42267213cb94da7ddc301651da","3.5"
"15","88cf19ec1fc2c58f161aee259d57142c","4.5"
"12","457fe919b032a3f7dadba6fb92cf7855","4.8"
"11","b7ed9fb14c8eadb37adb9c45d67ab0fb","2.9"
"11","2d42ebcda99fd55f6f4bc2f1ca035d50","4.0"
"14","659e8466eb3ff1b0e8740d74fb7bbedd","4.5"
"15","26785a546900236d66f2e4197c211158","4.7"
"26","013900e863eace745d3ec7614cab5b1a","4.7"
"12","d1c7fa84e48cfa21a0e595167c1c500e","4.3"
"17","d4f117125b59ce73c3302f88ee40c458","4.8"
"13","a2fa0bdc798ee84cdb08281337cf4fb6","4.2"
"19","f5b44895715ddfe3087dc414f30268f3","4.0"
"19","a425f92c199eb576938df686728acd20","4.4"
"14","5b85809efd0d0e4dea1a9544e1280ed9","4.4"
"21","93b9a99027bd8bd6af682aff18dd19bf","4.1"
"21","b347677812ea483b0f528eaf8cbc09b7","4.5"
"26","b2a6d334e2833acea353624840e25a0e","4.5"
"14","3ca08eeb8d5595949fed424bd3677742","4.4"
"14","5b51032eddd242adc84c38acab88f23d","3.8"
"38","31561f325664a8a7aba4c8d0c3a9b3db","4.6"
"13","08d0949a9a17c027262db1f3c450c26c","3.5"
"11","d1b9d4be4b6f9ebd85f8acd6745ba612","4.2"
"17","9d5604a1f112324ad6b2aa552122e0fb","3.6"
"13","2d518637f53161b973e01f56ea4bb88e","4.9"
"56","eed78ac17f7f795a19a709745f00cd4e","3.4"
"15","c84592044b180dec206770c38603814b","4.2"
"26","334cab711dee080b079fa5779b584783","5.0"
"14","51702dc2a3e106c76dbff722b5bf0726","4.4"
"21","dfc475d54e1b6dbeeb7d7d9bdaa63827","4.4"
"13","1f867308a0ce13133a4e639ff4de0c02","4.5"
"12","49383af7ab774e4e8f3000f49c83dc4b","4.6"
"23","1430239a858e7682bbc43b20758af153","4.0"
"18","270d3ef21830ad0ecf3a6c53d08a533a","2.2"
"46","325f3178fb58e2a9778334621eecdbf9","4.5"
"11","7bcd7c5f8631701474db233ccf1c094b","3.6"
"16","cf2384dd2f1dddea3f838efed0945e65","3.9"
"18","a369d693961cb93b61ca2cc518872a85","4.1"
"21","679769a98cfcc6da877c8486ff1c13f3","4.6"
"11","ab27bbbad5239bc31a34709275a70db4","5.0"
"17","b1aaae6b66ad3c40f54b389d7ea4bee0","4.5"
"14","8ff1a9df749e454105c55cda13e79143","3.7"
"32","fad44952713764836814be105382aee5","4.3"
"15","f9903dd0f812c7e771fcad47b6fff231","2.9"
"22","6a38087bc8ad4f89ff453561005f6dea","4.4"
"56","6df688df543f90e9b38f4319e75a9d88","4.5"
"21","6b15924333bd1a741595fe981ea04822","4.7"
"12","9c690ceacd5c66731bf443ea810195cb","4.4"
"12","2addf05f476d0637864454e93ba673d5","5.0"
"12","47efca563408aae19bb7206c2d969ea9","4.1"
"11","226b05fe067266c59c15dae208213d06","4.2"
"16","d66c11a9572221d92fbb8c4897db5f9b","4.6"
"31","40d54b51e962dbe09cabbcfd33298dee","3.9"
"11","c5f7e746b7e6d07def6c0dae9903279b","4.5"
"24","02ecc2a19303f05e59ce133fd923fff7","4.5"
"14","112453736dbe3889cfb74e1aaa0ba0c1","4.1"
"11","ad273c9eb54ecb4532de4bf75bae9e4e","3.8"
"18","bb5bd94c8f59cc050072d2930c869cac","4.2"
"28","c6381d2d013342748761e906d45aff76","3.0"
"41","34d1ca11b242c0fee2c834ae8d788566","4.3"
"16","8d46553a36e68f95350a200c12f8f2e2","3.1"
"22","b494891378bd8f4560abe576c52deacd","4.6"
"12","404e1ba01358af4cd63f679b2c4d1fa1","5.0"
"11","0791d9fc1e30678ecf03d3e55fa108d3","2.7"
"36","e49c26c3edfa46d227d5121a6b6e4d37","4.4"
"20","4b0fdb526525f9890eb145bf1534640e","4.0"
"16","df0f42bc4c2142eacf0eaf2cffd0cfbb","4.1"
"11","5ef131ac72773e5b3f6c0d63cf424657","3.8"
"12","d4ffeb15b67e81ff9af2b4252d99fb7e","4.3"
"14","557f22c76691849db52d2abccf0015d0","3.2"
"13","65a7c0788e4d632ccb5e1b594b87f0bb","4.4"
"11","403aa86912527d730337ffcb0fb096ab","4.0"
"22","d8c7ba53e7e38711eaef8c2849d6d2e1","4.5"
"30","e9511df20ccd82658a30c37b7fb343af","4.5"
"13","e627629ba868740e287800f1a9be81c2","4.5"
"16","3f8034bfc6b8b4135534975d49f04c63","3.1"
"17","e48cc16ab70bfa09e1401740dce0b3d7","3.2"
"11","1e483cc5c76fef08d3ca05f9a8af7d01","4.1"
"14","e256a62e0ac58c0edfba09966142d561","4.5"
"13","abc015ebac1d283a323ca9db35ede4b9","4.4"
"21","41da412d33e8da4f22baf55cb1bde82c","4.7"
"11","01bcc9d254a0143f0ce9791b960b2a47","4.4"
"18","9803a40e82e45418ab7fb84091af5231","3.1"
"42","bd4889b5e9133b35b66e42a8665cea5c","4.5"
"23","888faa8bfb0b159c37de6d898b961c31","3.9"
"32","f67efa3f0b6761102a7f8c6b7b571f5d","4.4"
"12","2009a095de2a2a41626f6c6d7722678d","3.9"
"12","257e61d3251fb5efb9daadddbc2cf7ca","4.8"
"11","2f4b0d3b9634b647d4edee577d7ebb7e","4.9"
"34","48efc9d94a9834137efd9ea76b065a38","5.0"
"12","014d9a685fd57276679edd00e07089e5","3.8"
"13","c510bc1718f0f2961eaa42a23330681a","4.0"
"11","5f7300535881cef3b625fd683cf7d145","4.5"
"60","4da0e408c99d2fdc2126dc9fce518060","4.5"
"25","e48b04bf1aa1ef711caebeb7aede6180","4.5"
"16","db46ca7bce82b11f7e247539271fc390","4.6"
"14","52562a9f449c3dc3d53f5f5b9ed74903","4.8"
"19","4978a02ea9c8be7a9b5480680f40334e","3.6"
"17","02c988090b766852e088c69d7fb3b551","4.7"
"13","c8c1bea22194a4eefa2dc9a9fa89f536","5.0"
"38","49067458c68f7701fd334ce326accbe0","3.4"
"16","7ff588a03c2aeae4fbd23f9ae64b760d","4.7"
"16","de0c78824586e9a5f5f04fd84e25df39","4.4"
"11","b16d3dadc47d4eb18be3d88bad0775ce","4.4"
"15","ffad1e7127fb622cb64a900751590acd","4.9"
"28","916c9de0b5ad957346eeeb12f332687e","4.4"
"23","5bffbafbb22daf6d3bfc216a46db8708","4.7"
"73","d566c37fa119d5e66c4e9052e83ee4ea","4.7"
"33","1b938a7ec6ac5061a66a3766e0e75f90","4.2"
"29","bf00385a5f7fc1ef39a13c2e9ee50a5f","4.3"
"29","960945e1a9535cbc0cd6ddd35fbe7ae8","4.7"
"29","e6a69c4a27dfdd98ffe5aa757ad744bc","3.6"
"12","f435898e493ba0356019a0b1cb8b55b1","4.3"
"13","c3e1abd72a42fe690fcd89cf5720fe29","4.5"
"15","81783131d2a97c8d44d406a4be81b5d9","3.4"
"17","d06d019f72a04e5497a0b64190af170c","4.5"
"14","caa9bc43a9fe8cf9c564ddd8a03cc4a6","4.7"
"23","41c2bad7229b0c25e6becf179ebf63ff","5.0"
"12","89f69225956f951295ca4c7fb1266553","4.3"
"14","39d61be7a92eb77b7da367bd4845bc0e","4.2"
"18","59417c56835dd8e2e72f91f809cd4092","4.3"
"15","ba5daa4041e1f15cdf34b76e3e18a450","4.3"
"14","bbf9ad41dca6603e614efcdad7aab8c4","4.5"
"15","5a05a16bb50629ee31afab8a6d4c2674","4.0"
"13","439a47cc365d6e3bd526812ea9de3c29","4.0"
"18","f08a5b9dd6767129688d001acafc21e5","3.4"
"14","f1c1ac3f3efc07e659c035008e615e66","3.6"
"14","c840d3fdbba0790404fdae73d253b253","3.9"
"15","b37c4c02bda3161a7546a4e6d222d5b2","1.4"
"12","184a67a8f9f63234d3a92340bbdb727f","3.6"
"20","65b081a070633e057c462abdd6fb9dd8","4.4"
"18","6c12e40690c335dbc2f68a4134d30dc1","4.1"
"13","2e0dba2da448400b1c11d7b4b22f32a4","3.8"
"15","fb3cfbc8a86f5d7fbb4d36b8df63f60d","3.1"
"54","b1a81260566c1bac3114a6d124413f27","4.2"
"60","fa1a9dec3a9940c072684a46728bf1fc","4.0"
"17","9a84ba99f5367fdbd4598363496f1ea2","3.7"
"23","42ef3192a9ff87a22d1867b74b3ee205","4.7"
"120","fc906263ca5083d09dce42fe02247800","4.4"
"11","cac63f48c38cd7d002a7e846dcd99a23","4.8"
"15","21e83881401b92b49fb09a16d3852291","4.3"
"12","08084d990eb3f53af056ccbc1730c8a7","4.5"
"11","48fb026ed7455a42f5d3e9390ed5088e","2.6"
"22","bc2ac6b95e1accce9858528ee566c17e","4.6"
"11","817f85dbb65aa3e70831d90fe75cdf89","4.5"
"12","985c92cc412091f8529c12d7f23d3fef","4.8"
"14","c9a06ece156bb057372c68718ec8909b","3.0"
"14","d6ab728cf30867cf3f1a2e216ae2f9b7","4.4"
"20","ffdd9f82b9a447f6f8d4b91554cc7dd3","4.3"
"39","5160d23075764e18e07c1f4a87fad743","4.5"
"12","6b803197e03abd5056b4313306b4f29d","4.8"
"13","3969863bb8af7f72580b3b1ffd3a17b3","4.0"
"11","b8114f2f589a6804810f04f99b36b498","4.7"
"11","41b86b552e54e3a7009596125aa8b167","4.4"
"45","718539d38d07dd351c76db862760e2e2","4.3"
"24","8c5e007d7bd5693fa1386ffefbc99f6c","4.2"
"11","f0e103c63864d5405b958d984b6e94c9","4.7"
"70","b372ee768ed69e46ca8cdbd267aa7a38","4.4"
"11","38102b031c2a15e54623d711bfc753d3","3.6"
"16","a23266650e7c84bb93fbbba502137478","3.3"
"11","26af45f5dfd967225a832838aa4e24a3","4.2"
"25","79ed755314cfe6df0daef2c6cd3022cd","4.7"
"11","6f83d9e4da896daae20b9b6b2d3ff8d2","4.4"
"23","52f9db5cfb423382a2fa5c9e39303202","4.2"
"18","cda598c48d7c614bc1cad7d8ff6f0010","3.9"
"14","9d681c7e12db302cb261e721040dde65","4.9"
"12","c394e193cda3b4225ff2094d32184849","4.7"
"12","38e6dada03429a47197d5d584d793b41","3.3"
"13","41ab63a91b8b264e8c8780368bf1dd5b","4.2"
"11","acb6c2ca5c82411c1fdb88d5fd5eb95e","3.7"
"41","272f092de69afedd4d2969440b37f18f","3.9"
"12","acf974e4d5950ad143a247471b831eb9","4.8"
"12","01c97ebb5cdac52891c0ed1c37ba0012","4.1"
"15","a8739afb32aaa45e01815ca76f76f54b","3.5"
"18","06bb3a2fe5e7b7a845b13e8fb91bd944","4.6"
"21","bf100ecb7997df312b285358fb32f92c","4.4"
"12","7a2d2949aea47fab95fd98d6c9f618b1","4.3"
"21","1354d51653f645349064725ed204e85e","3.7"
"32","0ebd97a106433a45a4aebe57c1799778","4.5"
"12","512d298ac2a96d1931b6bd30aa21f61d","4.3"
"12","d4e4b5192cba4e0e66eb12a9d347239d","4.2"
"15","2c4c47cb51acd5ea5db5e0ae0e26542a","4.6"
"13","cfd7ddab722b902f7ac5b5f3ba6d723d","4.5"
"12","2059c39f76271d4ca3f15b5ffaccc8b8","4.5"
"26","8ab42aa58097fd4668d60cc648225d5f","4.2"
"23","6426d21aca402a131fc0a5d0960a3c90","4.2"
"39","b90e891671cffd9557f33a97dc523645","4.1"
"19","8a2d12a90e92f012ce5226fc6592b653","4.6"
"33","5debea795b07621e1f90532e18f96145","4.3"
"14","6e1862e15f33d9994bc25922a85e1efc","4.7"
"25","3481aa57cd91f9f9d3fa1fa12d9a3bf7","3.9"
"14","596849622429351f47b32e6cae1055ff","4.0"
"30","0885aaf116795758dfeb5f1032487bcd","4.2"
"18","77e4abfd739aed9c46480f90f81c0eb4","4.8"
"13","92d14edfb62ee5ae7fdff70b0f4e7233","2.8"
"44","acce39e832338debb07b02385cde5967","4.5"
"15","f1fd5ab1181f827ffad998c1a5de7d74","4.7"
"11","ea6b12bf9ffe2bac34602ec631d97a47","4.1"
"30","4bf2f4ee540798a61f9636d12cd9cc80","4.2"
"11","0ff83046c3fa22efee8ecf291888b191","4.8"
"12","e1dc0754bada9ee4cfe9713f22f61292","3.8"
"38","bb135baca94c82fcb731335ad5b04a03","2.7"
"14","54065e9aef7e9e9c2dc23b7594db021a","3.9"
"40","65febd49fd28ec955651299159b1f527","4.2"
"18","f4a04f7be452aa3bb31760bf00055dd0","4.7"
"11","b080809eaacb49e5ca07290981472431","4.8"
"14","768de2a4fc06aacecb9a586ccc30746a","4.4"
"12","bfd938b22bc99bce1ae60dc602889f52","3.1"
"20","270297ead4c65a6cd2593960d2af6b21","3.7"
"17","a08692680c77d30a0b4280da5df01c5a","5.0"
"11","0570350b23eda5444f8d1d9544932058","5.0"
"13","f52c2422904463fdd7741f99045fecb6","4.3"
"22","5b664594895aefb418afaee6d40a9a23","3.6"
"22","c72de06d72748d1a0dfb2125be43ba63","4.5"
"33","cac876b37d3abcd6bd76caca30277996","4.6"
"38","14a08204d03bb6b6bde8029f801ae0eb","3.8"
"35","94e93ce877be27a515118dbfd2c2be41","3.9"
"13","ed859002ad59dbf8cf3602696a6c3000","4.0"
"19","094ced053e257ae8cae57205592d6712","4.1"
"14","e2c92f9c1c7746d899d18f2e158bbff7","4.1"
"11","b2eecf5ea250510da76590ca79d60e5d","5.0"
"24","845e8036c3f7bf62099352f5ed910240","3.8"
